	25	12	51	60	15	35	24	6	33	8	2	16	20	53	45	43	26	49	14	0	32	50	37	63	31	7	44	42	3	41	10	48	34	38	28	39	54	40	9	47	11	18	4	17	5	1	22	56	46	52	13	19	59	62	23	55	61	58	36	57	30	29	27	21
Acidianus_ambivalens	36154	72186	22122	25687	48892	33555	56231	54516	46950	104333	107220	46254	29288	18752	31796	28582	36738	19910	24913	116904	108936	23663	42183	9585	6245	22325	24698	61440	79103	69142	52080	38776	46996	33241	16005	6971	17718	54823	45306	18266	46974	21082	32495	15985	26127	46406	20514	26486	16212	18188	36494	26919	10499	13187	11344	5131	8613	24966	43005	8904	10331	11008	17653	15017
Acidianus_brierleyi	40282	98104	24635	30090	52719	47146	79378	67653	62598	163358	154439	57883	39426	18967	34995	33934	42118	25722	32012	175640	149195	35248	52211	10292	5876	24534	31464	82478	94054	89454	71772	50950	75403	44633	18601	8001	22081	69970	65005	24038	66162	30555	47109	19701	30742	59317	23829	32756	22352	18643	42502	34309	12150	16241	10885	5290	8522	29686	58278	10085	11373	12204	21611	16581
Acidianus_hospitalis_W1	34162	69112	21522	24597	46670	31717	52944	51587	44119	98821	102718	43977	27286	17718	29940	26989	34614	18977	23488	112654	103603	22866	39785	9213	5932	20909	23694	58463	75470	65262	49251	37318	44253	31398	15104	6628	16732	52355	43025	17288	44753	19901	31160	15182	24579	43848	19306	24972	15154	17274	34221	25206	9991	12359	10737	4682	8181	23604	41082	8268	9724	10184	16879	14244
Acidianus_manzaensis	33429	88922	19593	24910	41860	42369	74471	62703	58247	150214	150926	54118	37154	14390	34876	31536	37579	19814	29512	169627	140777	32223	46318	6916	3880	17811	27475	79110	84559	84109	70197	44815	68008	40769	14029	5872	20972	66223	63549	21171	63216	29379	43707	17289	25723	53056	19915	29889	20202	17124	40656	32626	9882	13264	6844	3839	6219	25261	57020	7783	8299	8852	20683	11700
Acidianus_sp_HS_5	44153	81401	26900	31131	59068	36817	62537	64985	56067	112903	113797	51443	31466	20372	36210	31515	43365	25923	30326	127073	121100	27914	50457	11796	7588	26901	30241	66454	91196	76854	55999	45073	52050	37485	19219	8442	20198	61815	51624	19518	53111	24550	39750	20120	30730	54068	25312	32177	20026	20888	42525	34692	12532	16225	14684	5888	8721	29376	51503	11438	12758	12890	21639	19047
Acidianus_sulfidivorans_JP7	29574	73384	17307	21589	36739	35602	61713	52200	48582	125266	126484	46815	30176	13308	29153	27985	31774	17461	24540	142059	117953	26511	38873	6554	3862	17850	23292	67632	71261	69854	58380	36903	56409	34689	13650	5577	18337	55621	51584	18237	50645	22514	35359	13781	21569	45137	16698	25214	17201	14804	34295	26491	8406	11217	6815	3870	5971	22096	45575	7435	8176	9176	17160	10962
Acidilobus_saccharovorans_345_15	41693	24060	34402	23087	57523	14924	23367	20788	20075	23556	11138	21568	33668	58695	24789	14961	21960	27344	12209	13911	23923	10518	28252	29427	18464	27427	22875	9220	31720	18742	7292	15691	16064	14281	23880	14276	27864	12174	12615	23359	22517	17090	19042	21947	27471	20092	36032	13679	11269	17055	41719	38245	17314	18735	24942	18963	37748	14857	29751	19457	17823	30549	28165	40207
Acidilobus_sp_7A	45429	24939	36700	22278	61238	16272	24715	20524	20085	22065	10137	22731	32209	62282	25799	15617	23423	29210	12156	12771	22561	10348	27930	30987	18078	28267	24989	8626	31437	18058	6758	14717	15279	15773	24323	14850	29914	12209	12649	22717	22255	17435	19678	22237	27334	19583	39558	13784	12110	17699	44124	40636	17314	18892	23977	20086	39063	14555	32638	20609	18416	33249	29614	43151
Acidiplasma_sp_	14877	32675	11403	15743	33640	10620	15900	20206	29652	101475	100684	38360	32669	20950	34807	23408	17039	11110	9803	113038	87369	22984	32121	10431	7147	9074	19931	46000	36459	43434	43846	21733	47100	16109	7190	4321	9158	33010	40811	19482	55642	26896	37599	17132	25285	33432	14831	10498	15642	16809	18979	31520	10878	13239	13732	4332	14163	15854	44480	6218	3926	6980	17583	17110
Aciduliprofundum_boonei_T469	32167	49766	23219	18305	31163	14666	21682	23937	26085	57152	60825	36656	29256	17707	31008	24741	21181	8572	11075	70678	45946	19890	33232	12277	5725	9644	18503	34419	45306	42594	27569	24795	31232	22811	11902	5770	13082	18388	36441	20047	39930	21837	25790	17912	19457	24704	14399	12033	13984	16850	25173	20473	12905	11329	9153	6114	9713	13535	31728	4339	4869	9645	12712	18778
Aciduliprofundum_sp_MAR08_339	33312	40632	24093	20567	35809	9440	14012	21373	23652	41668	46110	33657	32129	21744	30590	22211	19105	10850	9950	55452	30674	20707	37901	16019	9112	15337	20763	26619	34963	40483	21454	24429	23904	20819	13872	6491	10620	11202	35352	21832	37781	22369	26371	23406	23885	26899	18035	11488	14022	16840	18815	24929	16269	13655	14359	7924	13524	14126	34274	6093	8190	12933	16199	25793
Aeropyrum_camini_SY1_JCM_12091	48883	33573	40707	27102	55219	25041	34873	20119	25755	30392	11756	20735	35237	59013	23094	12140	18730	26456	13870	15742	21950	14450	37361	35412	21966	21770	16359	9599	27373	21239	8097	17004	21949	21124	26340	17274	29695	10765	18644	24643	20581	16011	24759	27136	33718	22890	38895	13865	14337	14754	44454	36918	17474	20027	30530	17795	29269	14987	22236	13986	13949	27410	24424	54136
Aeropyrum_pernix_K1	50632	36211	41679	27986	57227	25827	35879	21840	27041	31693	13316	22219	35994	60261	24869	12941	20229	27747	14687	17369	23357	15570	38949	35176	22393	23150	17360	10331	29897	23190	8858	18666	22180	21793	27937	18011	30214	11496	20008	25195	22181	17024	26166	28111	34224	24055	40065	15069	14930	16009	46472	38909	17973	20415	31385	18336	30424	15516	24292	15047	15147	28485	25457	54624
Archaeoglobus_fulgidus_DSM_4304	63681	56743	46017	33580	60185	12654	19006	33962	26469	29185	47275	49685	38284	41599	43612	33239	33753	27367	16056	71457	35259	21767	51830	25507	19274	32161	33886	36600	62747	60065	24031	41529	16941	32780	39170	23067	30106	19349	45102	24865	39062	23819	35483	28888	38003	45392	31123	17313	18434	28343	56585	47165	19918	17930	30256	15565	21045	25928	51387	16916	16162	24699	32518	36619
Archaeoglobus_fulgidus_DSM_8774	66151	61859	48349	35439	62994	14059	21036	36892	29159	33019	51880	53035	40412	42981	45610	35493	35746	28951	17437	77469	39155	23814	54067	26383	20084	34089	35975	39707	67690	63876	26067	44481	18791	34665	41146	24203	31439	21550	48576	26451	41888	25295	38331	30412	39702	48591	31911	18647	19545	29860	59439	49624	20943	18999	31255	16064	21919	27616	54488	17645	16969	25566	33982	37414
Archaeoglobus_profundus_DSM_5631	36951	50778	24199	18979	34363	16701	25577	33172	26956	36761	42992	39791	24692	17670	23600	25590	27857	18252	13764	57132	40253	21394	33353	9864	8218	22225	21845	31864	53589	47034	21618	29588	20785	24992	26141	14330	16684	22812	39836	15623	28519	17665	29325	18428	24120	37920	15254	15820	14616	14162	35500	24922	10586	11454	14530	6140	7104	21092	36351	9515	9894	10660	14712	17305
Archaeoglobus_sulfaticallidus_PM70_1	50528	64752	36825	26876	45928	14959	23096	36532	30401	51128	55350	47551	37750	27251	37675	31035	28894	22302	16491	79778	45749	35180	47731	15756	11876	18228	31961	38984	60077	59966	27976	38676	30105	34896	31769	19213	23734	21025	56612	25218	47880	29429	43368	25280	33559	45450	22634	15199	20932	21605	45006	46242	16117	15561	19778	8765	12205	26254	54377	11486	7818	13375	29352	25423
Archaeoglobus_veneficus_SNP6	48887	54742	34616	25615	44767	12654	20283	33855	29824	36225	41468	40396	31847	32868	39795	26143	28805	27041	16906	60591	35252	21777	39670	16198	15584	33203	25970	31489	55684	54246	21737	37602	20814	28211	40153	22623	23974	17520	38468	20741	36106	22373	33940	26039	28740	40768	22328	18094	17548	25382	44795	41712	16009	14580	23613	13914	17407	22697	40493	14840	16540	23180	26938	25661
Caldisphaera_lagunensis_DSM_15908	16262	43497	10383	12665	26565	20322	31529	26266	25643	92508	95734	40036	24377	11059	24146	23146	20184	8395	9604	104238	88557	19507	24653	6898	1980	5883	15264	48636	46237	41223	42607	22886	41917	18521	5340	2818	11364	38778	37136	13338	42690	19430	29970	8745	19219	33966	11914	11063	10178	11656	23589	16405	4859	8925	3528	2349	5181	15898	36380	3346	1870	4050	9998	11533
